model,year,params,arch_type,language_conditioned,multitask_generalist,open_weights,lerobot_native,min_finetune_vram,bimanual_ok,learning_value,notes
ACT (Action Chunking Transformer),2023,~52M,Transformer CVAE,No,No (single-task),Yes,Yes,~12GB,Yes (ALOHA origin),★★★★★,"The bimanual/ALOHA-origin BC method. Chunks actions, single fwd pass + temporal ensembling. Best first implementation to learn fundamentals. No language."
Diffusion Policy,2023,~263M,Conditional diffusion,No,No (single-task),Yes,Yes,~16GB,Yes,★★★★☆,"Denoising diffusion over action trajectories. Strong on contact-rich tasks. Single-task, no language conditioning."
VQ-BeT,2024,small,VQ codebook + GPT,No,Partial,Yes,Yes,~12GB,Yes,★★★☆☆,"Discretizes actions into a learned codebook, GPT predicts codes. Two-phase training. Good for multimodal behavior."
SmolVLA,2025,0.45B (fine-tune ~50M),VLM + flow-matching expert,Yes,Yes,Yes,Yes,~12-24GB,Yes,★★★★★,"Purpose-built for SO-100/101 on consumer HW. Pretrained on community LeRobot data. Paper reports matching/beating ACT & pi0 on SO-100/101 (author-reported). Freeze SigLIP+SmolLM2, tune action expert. Strong starting VLA."
pi0 / pi0-FAST,2024/25,~3.3B,PaliGemma + flow / FAST tokens,Yes,Yes,"Yes (pi0, pi0-FAST)",Yes,~24GB+,Yes,★★★★☆,"Physical Intelligence flagship. Flow-matching (pi0) or autoregressive FAST tokens. Strong generalist, heavier compute."
GR00T N1.5 / N1.7,2025,~3B,"VLA, dual-cam configs",Yes,Yes,Yes,Yes,~25GB (LoRA fits 16GB),Yes (proven on 2x SO-100),★★★★☆,"NVIDIA. Best-documented SO-101 fine-tune path, dual-camera configs, bimanual eval done. LoRA for 16GB. Lots of tutorials."
X-VLA,2025 (ICLR'26),0.9B,Soft-prompt Transformer + flow,Yes,Yes,Yes,Yes,~16-24GB,Yes,★★★★☆,"Recent strong performer (author-reported AgiBot World Challenge win, IROS'25; SOTA on several sim+real benchmarks, ICLR'26 submission). Soft prompts for cross-embodiment. Newest frontier candidate."
VLA-0,2025,VLM-sized,VLM outputs action strings,Yes,Yes,Yes (non-commercial),Partial,~24GB+,Yes,★★★☆☆,Zero architectural change: VLM emits action numbers as text. Paper reports improvement over SmolVLA on SO-100 (author-reported). Conceptually clean for learning.
OpenVLA,2024,7B,"VLM (Llama2+DINOv2/SigLIP), discrete action tokens",Yes,Yes,Yes (Apache-2.0),Partial (community),~16GB LoRA / ~80GB full,Yes,★★★★☆,"7B, trained on 970k OXE episodes. Beats the 55B RT-2-X by 16.5% abs success with 7x fewer params — the headline evidence that BIGGER != BETTER in VLAs. Fixed-base tabletop; no native mobile base."
RT-2-X,2023,55B,"VLM co-fine-tuned, discrete tokens",Yes,Yes,No (closed),No,N/A (closed),Yes,★★☆☆☆,Google's 55B flagship. Beaten by the 7B OpenVLA. Weights closed. Listed as the size ceiling reference — proof that scale alone plateaus for manipulation.
RDT-1B,2024,1.2B,"Diffusion Transformer (DiT), unified action space",Yes,Yes,Yes,Partial,~24GB LoRA / ~48GB full,Yes (ALOHA origin),★★★★☆,Largest DIFFUSION bimanual foundation model. Pretrained on 46 datasets / 1M+ episodes + 6k ALOHA. Unified action space EXPLICITLY supports wheeled locomotion — relevant to your mobile base. Strong few-shot (1-5 demos).
pi0.5,2025,~3B,"VLA, discrete-pretrain + flow post-train",Yes,Yes,No (weights closed; openpi code),Yes (arch/openpi),~24-48GB,Yes,★★★★★,"THE mobile-manipulation model: controls a mobile manipulator (base+arm) to clean unseen kitchens/bedrooms, 10-15 min multi-stage tasks. Co-trains web+multi-robot+semantic data. Best architectural fit for base+arm whole-body. Weights closed but openpi lets you train the arch."
WholeBodyVLA,2025 (ICLR'26),~3B class,"Unified latent VLA, loco-manip",Yes,Yes,Yes (code),No,~24-48GB,Yes,★★★☆☆,"Unified latent learning for whole-body loco-manipulation; learns from action-free video to fight data scarcity. Research-grade, humanoid-focused, but the loco+manip unification is conceptually what a mobile base needs."
V-JEPA 2-AC,2025,300M (AC head; ~1B encoder),Self-supervised joint-embedding video world model + MPC planning,"No (goal-IMAGE, not language)","Yes (zero-shot, task-agnostic)","Yes (Meta, open)",No (not a LeRobot policy),~24GB (planning is CPU/GPU MPC),Yes,★★★★☆,"JEPA line (LeCun). Pretrained on >1M hrs internet video; action-conditioned head trained on ~62 hrs unlabeled Droid. Plans via Cross-Entropy-Method MPC minimizing L1 in latent space to a GOAL IMAGE. Zero-shot on unseen Franka arms, monocular uncalibrated cam: reach ~100%, grasp/manip ~60-80% (author-reported). ~16s/action (slow, planning-based). No language, not reactive. arXiv:2506.09985."
DINO-WM,2025,ViT-based,World model on frozen DINO features + planning,No (goal-conditioned),Yes (zero-shot planning),Yes,No,~24GB,Partial,★★★☆☆,DINO-WM (2025; authors/venue not confirmed in-session - verify). World model built on pretrained DINO visual features; zero-shot planning without action labels. Same 'predict-then-plan' family as V-JEPA 2; conceptual reference for the JEPA/world-model-planning approach.
